player_id,player_name,country,date_of_birth
"0",Albert Gudmunsson,Iceland,1997-06-15
"1",Aleksandar Mitrovic,Serbia,1994-09-16
"2",Alexander Sorloth,Norway,1995-12-05
"3",Alexis Mac Allister,Argentina,1998-12-24
"4",Andrej Kramaric,Croatia,1991-06-19
"5",Ange-Yoan Bonny,France,2003-10-25
"6",Antonio Sanabria,Paraguay,1996-03-04
"7",Breel Embolo,Switzerland,1997-02-14
"8",Bruno Guimaraes,Brazil,1997-11-16
"9",Christian Pulisic,USA,1998-09-18
"10",Cody Gakpo,Netherlands,1999-05-07
"11",Cristiano Ronaldo,Portugal,1985-02-05
"12",Darwin Nunez,Uruguay,1999-06-24
"13",Denis Dragus,Romania,1999-07-06
"14",Denzel Dumfries,Netherlands,1996-04-18
"15",Donyell Malen,Netherlands,1999-01-19
"16",Edin Dzeko,Bosnia,1986-03-17
"17",Eduardo Vargas,Chile,1989-11-20
"18",Enner Valencia,Ecuador,1989-11-04
"19",Enzo Fernandez,Argentina,2001-01-17
"20",Erling Haaland,Norway,2000-07-21
"21",Federico Baschirotto,Italy,1996-09-20
"22",Federico Dimarco,Italy,1997-11-10
"23",Federico Valverde,Uruguay,1998-07-22
"24",Giacomo Raspadori,Italy,2000-02-18
"25",Harry Kane,England,1993-07-28
"26",Ivan Perisic,Croatia,1989-02-02
"27",Jeremy Doku,Belgium,2002-05-27
"28",Joao Cancelo,Portugal,1994-05-27
"29",Julian Alvarez,Argentina,2000-01-31
"30",Julio Enciso,Paraguay,2004-01-23
"31",Kevin de Bruyne,Belgium,1991-06-28
"32",Kylian Mbappe,France,1998-12-20
"33",Lautaro Martinez,Argentina,1997-08-22
"34",Lionel Messi,Argentina,1987-06-24
"35",Luis Diaz,Colombia,1997-01-13
"36",Luiz Henrique,Brazil,2001-01-02
"37",Marcel Sabitzer,Austria,1994-03-17
"38",Marcus Thuram,France,1997-08-06
"39",Marko Arnautovic,Austria,1989-04-19
"40",Mateo Retegui,Italy,1999-04-29
"41",Mathias Olivera,Uruguay,1997-10-31
"42",Matias Soule,Argentina,2003-04-15
"43",Matteo Cancellieri,Italy,2002-02-12
"44",Matteo Gabbia,Italy,1999-10-21
"45",Maxim De Cuyper,Belgium,2000-12-22
"46",Memphis Depay,Netherlands,1994-02-13
"47",Michael Gregoritsch,Austria,1994-04-18
"48",Miguel Almiron,Paraguay,1994-02-10
"49",Mikel Merino,Spain,1996-06-22
"50",Mikel Oyarzabal,Spain,1997-04-21
"51",Mikkel Damsgaard,Denmark,2000-07-03
"52",Moise Kean,Italy,2000-02-28
"53",Neymar,Brazil,1992-02-05
"54",Nico Paz,Argentina,2004-09-08
"55",Nicolas Gonzalez,Spain,2002-01-03
"56",Nicolas Ivan Gonzalez,Argentina,1998-04-06
"57",Nicolas Otamendi,Argentina,1988-02-12
"58",Patrik Schick,Czechia,1996-01-24
"59",Raphinha,Brazil,1996-12-14
"60",Rasmus Hojlund,Denmark,1991-06-28
"61",Riccardo Orsolini,Italy,1997-01-24
"62",Robert Lewandowski,Poland,1988-08-21
"63",Rodrygo,Brazil,2001-01-09
"64",Ruben Dias,Portugal,1997-05-14
"65",Salomon Rondon,Venezuela,1989-09-16
"66",Stefan Posch,Austria,1997-05-14
"67",Thelo Aasgaard,Denmark,2002-05-02
"68",Thiago Almada,Argentina,2001-04-26
"69",Vinicius Junior,Brazil,2000-07-12
"70",Youri Tielemans,Belgium,1997-05-07
"71",Joshua Zirkzee,Netherlands,2001-05-22
