player_name,date_of_birth,player_id
Albert Gudmundsson,1997-06-15,"0"
Aleksandar Mitrovic,2003-10-21,"1"
Alexander Sørloth,1995-12-05,"2"
Alexis Mac Allister,1998-12-24,"3"
Andrej Kramaric,1991-06-19,"4"
Ange-Yoan Bonny,2003-10-25,"5"
Antonio Sanabria,1996-03-04,"6"
Breel Embolo,1997-02-14,"7"
Bruno Guimarães,1997-11-16,"8"
Christian Pulisic,1998-09-18,"9"
Cody Gakpo,1999-05-07,"10"
Cristiano Ronaldo,2007-06-24,"11"
Darwin Núñez,1999-06-24,"12"
Denis Drăguș,1999-07-06,"13"
Denzel Dumfries,1996-04-18,"14"
Donyell Malen,1999-01-19,"15"
Edin Džeko,1986-03-17,"16"
Eduardo Vargas,1989-11-20,"17"
Enner Valencia,1989-11-04,"18"
Enzo Fernández,2001-01-17,"19"
Erling Haaland,2000-07-21,"20"
Federico Baschirotto,1996-09-20,"21"
Federico Dimarco,1997-11-10,"22"
Federico Valverde,1998-07-22,"23"
Giacomo Raspadori,2000-02-18,"24"
Harry Kane,1993-07-28,"25"
Ivan Perišić,1989-02-02,"26"
João Cancelo,1994-05-27,"27"
Julio Enciso,2004-01-23,"28"
Julián Alvarez,2000-01-31,"29"
Jérémy Doku,2002-05-27,"30"
Kevin De Bruyne,1991-06-28,"31"
Kylian Mbappé,1998-12-20,"32"
Lautaro Martínez,1997-08-22,"33"
Lionel Messi,1987-06-24,"34"
Luis Díaz,1997-01-13,"35"
Luiz Henrique,1999-03-18,"36"
Luiz Henrique,1997-04-19,"37"
Luiz Henrique,2001-01-02,"38"
Luiz Henrique,2004-08-14,"39"
Luiz Henrique,2004-12-23,"40"
Luiz Henrique,2004-12-01,"41"
Luiz Henrique,1999-05-03,"42"
Luiz Henrique,2001-03-25,"43"
Luiz Henrique,2008-12-15,"44"
Luiz Henrique,1998-01-17,"45"
Luiz Henrique Motta,1997-04-30,"46"
Marcel Sabitzer,1994-03-17,"47"
Marcus Thuram,1997-08-06,"48"
Marko Arnautovic,1989-04-19,"49"
Mateo Retegui,1999-04-29,"50"
Mathías Olivera,1997-10-31,"51"
Matteo Cancellieri,2002-02-12,"52"
Matteo Gabbia,1999-10-21,"53"
Matías Soulé,2003-04-15,"54"
Maxim De Cuyper,2000-12-22,"55"
Memphis Depay,1994-02-13,"56"
Michael Gregoritsch,1994-04-18,"57"
Miguel Almirón,1994-02-10,"58"
Mikel Merino,1996-06-22,"59"
Mikel Oyarzabal,1997-04-21,"60"
Mikkel Damsgaard,2000-07-03,"61"
Moise Kean,2000-02-28,"62"
Neymar,1992-02-05,"63"
Neymar Sánchez,2003-11-17,"64"
Neymar Uribe,2004-01-09,"65"
Nico González,2002-01-03,"66"
Nico González,1998-04-06,"67"
Nico Paz,2004-09-08,"68"
Nicolas Paz,2005-08-23,"69"
Nicolás Otamendi,1988-02-12,"70"
Nicolás Paz,2002-10-16,"71"
Nicolás Ruiz Paz,2006-03-08,"72"
Patrik Schick,1996-01-24,"73"
Raphinha,1993-10-12,"74"
Raphinha,1999-08-05,"75"
Raphinha,1996-12-14,"76"
Rasmus Højlund,2003-02-04,"77"
Riccardo Orsolini,1997-01-24,"78"
Robert Lewandowski,1988-08-21,"79"
Rodrygo,2001-01-09,"80"
Rúben Dias,1997-05-14,"81"
Salomón Rondón,1989-09-16,"82"
Stefan Posch,1997-05-14,"83"
Thelo Aasgaard,2002-05-02,"84"
Thiago Almada,2001-04-26,"85"
Vinicius Junior,2000-07-12,"86"
Youri Tielemans,1997-05-07,"87"
Samuel Chukwueze,1999-05-22,"88"
