player_id_soccerway,player_name_soccerway,player_id_transfermarkt,player_name_transfermarkt
0,Albert Gudmunsson,0,Albert Gudmundsson
1,Aleksandar Mitrovic,1,Aleksandar Mitrovic
2,Alexander Sorloth,2,Alexander Sørloth
3,Alexis Mac Allister,3,Alexis Mac Allister
4,Andrej Kramaric,4,Andrej Kramaric
5,Ange-Yoan Bonny,5,Ange-Yoan Bonny
6,Antonio Sanabria,6,Antonio Sanabria
7,Breel Embolo,7,Breel Embolo
8,Bruno Guimaraes,8,Bruno Guimarães
9,Christian Pulisic,9,Christian Pulisic
10,Cody Gakpo,10,Cody Gakpo
11,Cristiano Ronaldo,11,Cristiano Ronaldo
12,Darwin Nunez,12,Darwin Núñez
13,Denis Dragus,13,Denis Drăguș
14,Denzel Dumfries,14,Denzel Dumfries
15,Donyell Malen,15,Donyell Malen
16,Edin Dzeko,16,Edin Džeko
17,Eduardo Vargas,17,Eduardo Vargas
18,Enner Valencia,18,Enner Valencia
19,Enzo Fernandez,19,Enzo Fernández
20,Erling Haaland,20,Erling Haaland
21,Federico Baschirotto,21,Federico Baschirotto
22,Federico Dimarco,22,Federico Dimarco
23,Federico Valverde,23,Federico Valverde
24,Giacomo Raspadori,24,Giacomo Raspadori
25,Harry Kane,25,Harry Kane
26,Ivan Perisic,26,Ivan Perišić
27,Jeremy Doku,30,Jérémy Doku
28,Joao Cancelo,27,João Cancelo
29,Julian Alvarez,29,Julián Alvarez
30,Julio Enciso,28,Julio Enciso
31,Kevin de Bruyne,31,Kevin De Bruyne
32,Kylian Mbappe,32,Kylian Mbappé
33,Lautaro Martinez,33,Lautaro Martínez
34,Lionel Messi,34,Lionel Messi
35,Luis Diaz,35,Luis Díaz
36,Luiz Henrique,38,Luiz Henrique
37,Marcel Sabitzer,47,Marcel Sabitzer
38,Marcus Thuram,48,Marcus Thuram
39,Marko Arnautovic,49,Marko Arnautovic
40,Mateo Retegui,50,Mateo Retegui
41,Mathias Olivera,51,Mathías Olivera
42,Matias Soule,54,Matías Soulé
43,Matteo Cancellieri,52,Matteo Cancellieri
44,Matteo Gabbia,53,Matteo Gabbia
45,Maxim De Cuyper,55,Maxim De Cuyper
46,Memphis Depay,56,Memphis Depay
47,Michael Gregoritsch,57,Michael Gregoritsch
48,Miguel Almiron,58,Miguel Almirón
49,Mikel Merino,59,Mikel Merino
50,Mikel Oyarzabal,60,Mikel Oyarzabal
51,Mikkel Damsgaard,61,Mikkel Damsgaard
52,Moise Kean,62,Moise Kean
53,Neymar,63,Neymar
54,Nico Paz,68,Nico Paz
55,Nicolas Gonzalez,66,Nico González
56,Nicolas Ivan Gonzalez,67,Nico González
57,Nicolas Otamendi,70,Nicolás Otamendi
58,Patrik Schick,73,Patrik Schick
59,Raphinha,76,Raphinha
60,Rasmus Hojlund,77,Rasmus Højlund
61,Riccardo Orsolini,78,Riccardo Orsolini
62,Robert Lewandowski,79,Robert Lewandowski
63,Rodrygo,80,Rodrygo
64,Ruben Dias,81,Rúben Dias
65,Salomon Rondon,82,Salomón Rondón
66,Stefan Posch,83,Stefan Posch
67,Thelo Aasgaard,84,Thelo Aasgaard
68,Thiago Almada,85,Thiago Almada
69,Vinicius Junior,86,Vinicius Junior
70,Youri Tielemans,87,Youri Tielemans
71,Joshua Zirkzee,,
